item_a,item_b,department_a,department_b,basket_count,pair_basket_count,support,confidence_a_to_b,confidence_b_to_a,lift,category_affinity,anchor_item,recommended_item,recommendation_confidence,cross_sell_opportunity
COLD CEREAL,PAPER TOWELS,GROCERY,GROCERY,191561,2553,0.013327,0.104958,0.2619,2.062564,COLD CEREAL + PAPER TOWELS,PAPER TOWELS,COLD CEREAL,0.2619,Recommend COLD CEREAL to baskets containing PAPER TOWELS
FACIAL TISS/DNR NAPKIN,TROPICAL FRUIT,GROCERY,PRODUCE,191561,2236,0.011673,0.340646,0.07067,2.062404,FACIAL TISS/DNR NAPKIN + TROPICAL FRUIT,FACIAL TISS/DNR NAPKIN,TROPICAL FRUIT,0.340646,Recommend TROPICAL FRUIT to baskets containing FACIAL TISS/DNR NAPKIN
 ,CAT FOOD, ,GROCERY,191561,441,0.002302,0.065179,0.072844,2.062392,  + CAT FOOD,CAT FOOD, ,0.072844,Recommend   to baskets containing CAT FOOD
BAKING NEEDS,FACIAL TISS/DNR NAPKIN,GROCERY,GROCERY,191561,699,0.003649,0.070663,0.10649,2.062204,BAKING NEEDS + FACIAL TISS/DNR NAPKIN,FACIAL TISS/DNR NAPKIN,BAKING NEEDS,0.10649,Recommend BAKING NEEDS to baskets containing FACIAL TISS/DNR NAPKIN
GRAPES,HOT CEREAL,PRODUCE,GROCERY,191561,563,0.002939,0.057561,0.105293,2.062159,GRAPES + HOT CEREAL,HOT CEREAL,GRAPES,0.105293,Recommend GRAPES to baskets containing HOT CEREAL
COOKIES/CONES,DRY BN/VEG/POTATO/RICE,GROCERY,GROCERY,191561,2232,0.011652,0.136597,0.175887,2.061995,COOKIES/CONES + DRY BN/VEG/POTATO/RICE,DRY BN/VEG/POTATO/RICE,COOKIES/CONES,0.175887,Recommend COOKIES/CONES to baskets containing DRY BN/VEG/POTATO/RICE
PROCESSED,SEAFOOD - FROZEN,PRODUCE,SEAFOOD-PCKGD,191561,350,0.001827,0.077143,0.048835,2.061906,PROCESSED + SEAFOOD - FROZEN,PROCESSED,SEAFOOD - FROZEN,0.077143,Recommend SEAFOOD - FROZEN to baskets containing PROCESSED
FRZN BREAKFAST FOODS,PICKLE/RELISH/PKLD VEG,GROCERY,GROCERY,191561,441,0.002302,0.063536,0.074695,2.061471,FRZN BREAKFAST FOODS + PICKLE/RELISH/PKLD VEG,PICKLE/RELISH/PKLD VEG,FRZN BREAKFAST FOODS,0.074695,Recommend FRZN BREAKFAST FOODS to baskets containing PICKLE/RELISH/PKLD VEG
CHEESES,SALAD MIX,DELI,PRODUCE,191561,1787,0.009329,0.162248,0.118525,2.061444,CHEESES + SALAD MIX,CHEESES,SALAD MIX,0.162248,Recommend SALAD MIX to baskets containing CHEESES
FACIAL TISS/DNR NAPKIN,PICKLE/RELISH/PKLD VEG,GROCERY,GROCERY,191561,417,0.002177,0.063528,0.07063,2.061238,FACIAL TISS/DNR NAPKIN + PICKLE/RELISH/PKLD VEG,PICKLE/RELISH/PKLD VEG,FACIAL TISS/DNR NAPKIN,0.07063,Recommend FACIAL TISS/DNR NAPKIN to baskets containing PICKLE/RELISH/PKLD VEG
ORGANICS FRUIT & VEGETABLES,PNT BTR/JELLY/JAMS,PRODUCE,GROCERY,191561,549,0.002866,0.106685,0.055371,2.061185,ORGANICS FRUIT & VEGETABLES + PNT BTR/JELLY/JAMS,ORGANICS FRUIT & VEGETABLES,PNT BTR/JELLY/JAMS,0.106685,Recommend PNT BTR/JELLY/JAMS to baskets containing ORGANICS FRUIT & VEGETABLES
FRZN BREAKFAST FOODS,PAPER TOWELS,GROCERY,GROCERY,191561,728,0.0038,0.104884,0.074682,2.061109,FRZN BREAKFAST FOODS + PAPER TOWELS,FRZN BREAKFAST FOODS,PAPER TOWELS,0.104884,Recommend PAPER TOWELS to baskets containing FRZN BREAKFAST FOODS
BUTTER,FROZEN BREAD/DOUGH,GROCERY,GROCERY,191561,350,0.001827,0.072962,0.051592,2.060248,BUTTER + FROZEN BREAD/DOUGH,BUTTER,FROZEN BREAD/DOUGH,0.072962,Recommend FROZEN BREAD/DOUGH to baskets containing BUTTER
CHICKEN,SALD DRSNG/SNDWCH SPRD,MEAT,GROCERY,191561,2523,0.013171,0.173497,0.156397,2.060212,CHICKEN + SALD DRSNG/SNDWCH SPRD,CHICKEN,SALD DRSNG/SNDWCH SPRD,0.173497,Recommend SALD DRSNG/SNDWCH SPRD to baskets containing CHICKEN
CHICKEN,SALAD MIX,MEAT,PRODUCE,191561,2358,0.012309,0.162151,0.156397,2.060212,CHICKEN + SALAD MIX,CHICKEN,SALAD MIX,0.162151,Recommend SALAD MIX to baskets containing CHICKEN
TROPICAL FRUIT,VEGETABLES SALAD,PRODUCE,PRODUCE,191561,3555,0.018558,0.112358,0.340257,2.060047,TROPICAL FRUIT + VEGETABLES SALAD,VEGETABLES SALAD,TROPICAL FRUIT,0.340257,Recommend TROPICAL FRUIT to baskets containing VEGETABLES SALAD
BACON,SNACK NUTS,MEAT-PCKGD,GROCERY,191561,501,0.002615,0.047966,0.112307,2.059701,BACON + SNACK NUTS,SNACK NUTS,BACON,0.112307,Recommend BACON to baskets containing SNACK NUTS
SALAD MIX,VEGETABLES - SHELF STABLE,PRODUCE,GROCERY,191561,3536,0.018459,0.234529,0.162105,2.059629,SALAD MIX + VEGETABLES - SHELF STABLE,SALAD MIX,VEGETABLES - SHELF STABLE,0.234529,Recommend VEGETABLES - SHELF STABLE to baskets containing SALAD MIX
MISC. DAIRY,TROPICAL FRUIT,GROCERY,PRODUCE,191561,2389,0.012471,0.340168,0.075506,2.059511,MISC. DAIRY + TROPICAL FRUIT,MISC. DAIRY,TROPICAL FRUIT,0.340168,Recommend TROPICAL FRUIT to baskets containing MISC. DAIRY
DELI MEATS,STONE FRUIT,DELI,PRODUCE,191561,952,0.00497,0.057394,0.178311,2.059284,DELI MEATS + STONE FRUIT,STONE FRUIT,DELI MEATS,0.178311,Recommend DELI MEATS to baskets containing STONE FRUIT
BEEF,MUSHROOMS,MEAT,PRODUCE,191561,1752,0.009146,0.049301,0.381949,2.058883,BEEF + MUSHROOMS,MUSHROOMS,BEEF,0.381949,Recommend BEEF to baskets containing MUSHROOMS
BAKING NEEDS,VEGETABLES - ALL OTHERS,GROCERY,PRODUCE,191561,1690,0.008822,0.170845,0.106316,2.058836,BAKING NEEDS + VEGETABLES - ALL OTHERS,BAKING NEEDS,VEGETABLES - ALL OTHERS,0.170845,Recommend VEGETABLES - ALL OTHERS to baskets containing BAKING NEEDS
BACON,SOUP,MEAT-PCKGD,GROCERY,191561,2536,0.013239,0.242796,0.112237,2.058427,BACON + SOUP,BACON,SOUP,0.242796,Recommend SOUP to baskets containing BACON
DRY NOODLES/PASTA,PROCESSED,GROCERY,PRODUCE,191561,656,0.003424,0.048748,0.144589,2.05823,DRY NOODLES/PASTA + PROCESSED,PROCESSED,DRY NOODLES/PASTA,0.144589,Recommend DRY NOODLES/PASTA to baskets containing PROCESSED
BEANS - CANNED GLASS & MW,SALAD MIX,GROCERY,PRODUCE,191561,1472,0.007684,0.16199,0.097632,2.058161,BEANS - CANNED GLASS & MW + SALAD MIX,BEANS - CANNED GLASS & MW,SALAD MIX,0.16199,Recommend SALAD MIX to baskets containing BEANS - CANNED GLASS & MW
CANNED JUICES,DRY NOODLES/PASTA,GROCERY,GROCERY,191561,2777,0.014497,0.144575,0.206361,2.058034,CANNED JUICES + DRY NOODLES/PASTA,DRY NOODLES/PASTA,CANNED JUICES,0.206361,Recommend CANNED JUICES to baskets containing DRY NOODLES/PASTA
DINNER MXS:DRY,EGGS,GROCERY,GROCERY,191561,3701,0.01932,0.291005,0.136614,2.057701,DINNER MXS:DRY + EGGS,DINNER MXS:DRY,EGGS,0.291005,Recommend EGGS to baskets containing DINNER MXS:DRY
REFRIGERATED,SEAFOOD - SHELF STABLE,NUTRITION,GROCERY,191561,393,0.002052,0.080831,0.052219,2.057408,REFRIGERATED + SEAFOOD - SHELF STABLE,REFRIGERATED,SEAFOOD - SHELF STABLE,0.080831,Recommend SEAFOOD - SHELF STABLE to baskets containing REFRIGERATED
MILK BY-PRODUCTS,VEGETABLES - ALL OTHERS,GROCERY,PRODUCE,191561,3261,0.017023,0.170697,0.205146,2.057054,MILK BY-PRODUCTS + VEGETABLES - ALL OTHERS,VEGETABLES - ALL OTHERS,MILK BY-PRODUCTS,0.205146,Recommend MILK BY-PRODUCTS to baskets containing VEGETABLES - ALL OTHERS
CONVENIENT BRKFST/WHLSM SNACKS,FRZN NOVELTIES/WTR ICE,GROCERY,GROCERY,191561,1389,0.007251,0.104248,0.143078,2.05705,CONVENIENT BRKFST/WHLSM SNACKS + FRZN NOVELTIES/WTR ICE,FRZN NOVELTIES/WTR ICE,CONVENIENT BRKFST/WHLSM SNACKS,0.143078,Recommend CONVENIENT BRKFST/WHLSM SNACKS to baskets containing FRZN NOVELTIES/WTR ICE
CARROTS,VALUE ADDED FRUIT,PRODUCE,PRODUCE,191561,489,0.002553,0.060542,0.086733,2.057031,CARROTS + VALUE ADDED FRUIT,VALUE ADDED FRUIT,CARROTS,0.086733,Recommend CARROTS to baskets containing VALUE ADDED FRUIT
BAKING MIXES,SOUP,GROCERY,GROCERY,191561,2605,0.013599,0.242619,0.115291,2.05693,BAKING MIXES + SOUP,BAKING MIXES,SOUP,0.242619,Recommend SOUP to baskets containing BAKING MIXES
CHEESES,YOGURT,DELI,GROCERY,191561,2004,0.010461,0.18195,0.118265,2.056924,CHEESES + YOGURT,CHEESES,YOGURT,0.18195,Recommend YOGURT to baskets containing CHEESES
DRY BN/VEG/POTATO/RICE,PROCESSED,GROCERY,PRODUCE,191561,618,0.003226,0.0487,0.136213,2.056199,DRY BN/VEG/POTATO/RICE + PROCESSED,PROCESSED,DRY BN/VEG/POTATO/RICE,0.136213,Recommend DRY BN/VEG/POTATO/RICE to baskets containing PROCESSED
BAKING NEEDS,EGGS,GROCERY,GROCERY,191561,2876,0.015013,0.29074,0.106161,2.055828,BAKING NEEDS + EGGS,BAKING NEEDS,EGGS,0.29074,Recommend EGGS to baskets containing BAKING NEEDS
ISOTONIC DRINKS,PASTA SAUCE,GROCERY,GROCERY,191561,596,0.003111,0.120258,0.053172,2.055205,ISOTONIC DRINKS + PASTA SAUCE,ISOTONIC DRINKS,PASTA SAUCE,0.120258,Recommend PASTA SAUCE to baskets containing ISOTONIC DRINKS
COLD CEREAL,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,2551,0.013317,0.104876,0.260945,2.055045,COLD CEREAL + SUGARS/SWEETNERS,SUGARS/SWEETNERS,COLD CEREAL,0.260945,Recommend COLD CEREAL to baskets containing SUGARS/SWEETNERS
LUNCHMEAT,PORK,MEAT-PCKGD,MEAT,191561,2928,0.015285,0.127933,0.245493,2.054746,LUNCHMEAT + PORK,PORK,LUNCHMEAT,0.245493,Recommend LUNCHMEAT to baskets containing PORK
CANNED JUICES,GRAPES,GROCERY,PRODUCE,191561,2015,0.010519,0.104904,0.206012,2.05455,CANNED JUICES + GRAPES,GRAPES,CANNED JUICES,0.206012,Recommend CANNED JUICES to baskets containing GRAPES
SOUP,VEGETABLES - ALL OTHERS,GROCERY,PRODUCE,191561,3852,0.020108,0.17048,0.242325,2.054439,SOUP + VEGETABLES - ALL OTHERS,VEGETABLES - ALL OTHERS,SOUP,0.242325,Recommend SOUP to baskets containing VEGETABLES - ALL OTHERS
ORGANICS FRUIT & VEGETABLES,SALD DRSNG/SNDWCH SPRD,PRODUCE,GROCERY,191561,890,0.004646,0.17295,0.05517,2.05371,ORGANICS FRUIT & VEGETABLES + SALD DRSNG/SNDWCH SPRD,ORGANICS FRUIT & VEGETABLES,SALD DRSNG/SNDWCH SPRD,0.17295,Recommend SALD DRSNG/SNDWCH SPRD to baskets containing ORGANICS FRUIT & VEGETABLES
CARROTS,FRZN BREAKFAST FOODS,PRODUCE,GROCERY,191561,601,0.003137,0.074409,0.086587,2.05357,CARROTS + FRZN BREAKFAST FOODS,FRZN BREAKFAST FOODS,CARROTS,0.086587,Recommend CARROTS to baskets containing FRZN BREAKFAST FOODS
COFFEE,CRACKERS/MISC BKD FD,GROCERY,GROCERY,191561,2523,0.013171,0.233654,0.115755,2.053545,COFFEE + CRACKERS/MISC BKD FD,COFFEE,CRACKERS/MISC BKD FD,0.233654,Recommend CRACKERS/MISC BKD FD to baskets containing COFFEE
MUSHROOMS,SHORTENING/OIL,PRODUCE,GROCERY,191561,386,0.002015,0.084151,0.049172,2.053506,MUSHROOMS + SHORTENING/OIL,MUSHROOMS,SHORTENING/OIL,0.084151,Recommend SHORTENING/OIL to baskets containing MUSHROOMS
CONVENIENT BRKFST/WHLSM SNACKS,PROCESSED,GROCERY,PRODUCE,191561,648,0.003383,0.048634,0.142826,2.053424,CONVENIENT BRKFST/WHLSM SNACKS + PROCESSED,PROCESSED,CONVENIENT BRKFST/WHLSM SNACKS,0.142826,Recommend CONVENIENT BRKFST/WHLSM SNACKS to baskets containing PROCESSED
FRZN VEGETABLE/VEG DSH,MILK BY-PRODUCTS,GROCERY,GROCERY,191561,2511,0.013108,0.204779,0.131438,2.053375,FRZN VEGETABLE/VEG DSH + MILK BY-PRODUCTS,FRZN VEGETABLE/VEG DSH,MILK BY-PRODUCTS,0.204779,Recommend MILK BY-PRODUCTS to baskets containing FRZN VEGETABLE/VEG DSH
DINNER SAUSAGE,ONIONS,MEAT-PCKGD,PRODUCE,191561,1553,0.008107,0.16238,0.102515,2.053312,DINNER SAUSAGE + ONIONS,DINNER SAUSAGE,ONIONS,0.16238,Recommend ONIONS to baskets containing DINNER SAUSAGE
HOUSEHOLD CLEANG NEEDS,PNT BTR/JELLY/JAMS,GROCERY,GROCERY,191561,726,0.00379,0.106249,0.073222,2.052767,HOUSEHOLD CLEANG NEEDS + PNT BTR/JELLY/JAMS,HOUSEHOLD CLEANG NEEDS,PNT BTR/JELLY/JAMS,0.106249,Recommend PNT BTR/JELLY/JAMS to baskets containing HOUSEHOLD CLEANG NEEDS
BEANS - CANNED GLASS & MW,PAPER HOUSEWARES,GROCERY,GROCERY,191561,711,0.003712,0.078244,0.097371,2.052647,BEANS - CANNED GLASS & MW + PAPER HOUSEWARES,PAPER HOUSEWARES,BEANS - CANNED GLASS & MW,0.097371,Recommend BEANS - CANNED GLASS & MW to baskets containing PAPER HOUSEWARES
COLD CEREAL,GRAPES,GROCERY,PRODUCE,191561,2549,0.013306,0.104794,0.260607,2.052384,COLD CEREAL + GRAPES,GRAPES,COLD CEREAL,0.260607,Recommend COLD CEREAL to baskets containing GRAPES
BEANS - CANNED GLASS & MW,DRY MIX DESSERTS,GROCERY,GROCERY,191561,502,0.002621,0.055244,0.097325,2.051677,BEANS - CANNED GLASS & MW + DRY MIX DESSERTS,DRY MIX DESSERTS,BEANS - CANNED GLASS & MW,0.097325,Recommend BEANS - CANNED GLASS & MW to baskets containing DRY MIX DESSERTS
BAKING MIXES,MEAT - MISC,GROCERY,MEAT-PCKGD,191561,929,0.00485,0.086523,0.114989,2.051551,BAKING MIXES + MEAT - MISC,MEAT - MISC,BAKING MIXES,0.114989,Recommend BAKING MIXES to baskets containing MEAT - MISC
DRY NOODLES/PASTA,EGGS,GROCERY,GROCERY,191561,3903,0.020375,0.290035,0.14407,2.050843,DRY NOODLES/PASTA + EGGS,DRY NOODLES/PASTA,EGGS,0.290035,Recommend EGGS to baskets containing DRY NOODLES/PASTA
CANNED JUICES,PICKLE/RELISH/PKLD VEG,GROCERY,GROCERY,191561,1214,0.006337,0.063203,0.205623,2.050677,CANNED JUICES + PICKLE/RELISH/PKLD VEG,PICKLE/RELISH/PKLD VEG,CANNED JUICES,0.205623,Recommend CANNED JUICES to baskets containing PICKLE/RELISH/PKLD VEG
CRACKERS/MISC BKD FD,REFRGRATD DOUGH PRODUCTS,GROCERY,GROCERY,191561,3158,0.016486,0.144889,0.233321,2.050615,CRACKERS/MISC BKD FD + REFRGRATD DOUGH PRODUCTS,REFRGRATD DOUGH PRODUCTS,CRACKERS/MISC BKD FD,0.233321,Recommend CRACKERS/MISC BKD FD to baskets containing REFRGRATD DOUGH PRODUCTS
CRACKERS/MISC BKD FD,HOUSEHOLD CLEANG NEEDS,GROCERY,GROCERY,191561,1594,0.008321,0.073133,0.23328,2.050252,CRACKERS/MISC BKD FD + HOUSEHOLD CLEANG NEEDS,HOUSEHOLD CLEANG NEEDS,CRACKERS/MISC BKD FD,0.23328,Recommend CRACKERS/MISC BKD FD to baskets containing HOUSEHOLD CLEANG NEEDS
BACON,MISC. DAIRY,MEAT-PCKGD,GROCERY,191561,785,0.004098,0.075156,0.111776,2.049961,BACON + MISC. DAIRY,MISC. DAIRY,BACON,0.111776,Recommend BACON to baskets containing MISC. DAIRY
CHEESE,FROZEN MEAT,GROCERY,MEAT-PCKGD,191561,3831,0.019999,0.083723,0.489647,2.049856,CHEESE + FROZEN MEAT,FROZEN MEAT,CHEESE,0.489647,Recommend CHEESE to baskets containing FROZEN MEAT
DRY MIX DESSERTS,PAPER HOUSEWARES,GROCERY,GROCERY,191561,403,0.002104,0.078131,0.05519,2.049694,DRY MIX DESSERTS + PAPER HOUSEWARES,DRY MIX DESSERTS,PAPER HOUSEWARES,0.078131,Recommend PAPER HOUSEWARES to baskets containing DRY MIX DESSERTS
HOT CEREAL,SEAFOOD - FROZEN,GROCERY,SEAFOOD-PCKGD,191561,410,0.00214,0.076679,0.057207,2.049478,HOT CEREAL + SEAFOOD - FROZEN,HOT CEREAL,SEAFOOD - FROZEN,0.076679,Recommend SEAFOOD - FROZEN to baskets containing HOT CEREAL
ORGANICS FRUIT & VEGETABLES,SALAD MIX,PRODUCE,PRODUCE,191561,830,0.004333,0.16129,0.055051,2.049276,ORGANICS FRUIT & VEGETABLES + SALAD MIX,ORGANICS FRUIT & VEGETABLES,SALAD MIX,0.16129,Recommend SALAD MIX to baskets containing ORGANICS FRUIT & VEGETABLES
BERRIES,POTATOES,PRODUCE,PRODUCE,191561,1394,0.007277,0.157764,0.094521,2.049184,BERRIES + POTATOES,BERRIES,POTATOES,0.157764,Recommend POTATOES to baskets containing BERRIES
FRZN POTATOES,SUGARS/SWEETNERS,GROCERY,GROCERY,191561,814,0.004249,0.10456,0.083265,2.048857,FRZN POTATOES + SUGARS/SWEETNERS,FRZN POTATOES,SUGARS/SWEETNERS,0.10456,Recommend SUGARS/SWEETNERS to baskets containing FRZN POTATOES
DRY BN/VEG/POTATO/RICE,LUNCHMEAT,GROCERY,MEAT-PCKGD,191561,3106,0.016214,0.24476,0.13571,2.048604,DRY BN/VEG/POTATO/RICE + LUNCHMEAT,DRY BN/VEG/POTATO/RICE,LUNCHMEAT,0.24476,Recommend LUNCHMEAT to baskets containing DRY BN/VEG/POTATO/RICE
PNT BTR/JELLY/JAMS,PROCESSED,GROCERY,PRODUCE,191561,481,0.002511,0.048512,0.106017,2.048286,PNT BTR/JELLY/JAMS + PROCESSED,PROCESSED,PNT BTR/JELLY/JAMS,0.106017,Recommend PNT BTR/JELLY/JAMS to baskets containing PROCESSED
BACON,CRACKERS/MISC BKD FD,MEAT-PCKGD,GROCERY,191561,2434,0.012706,0.23303,0.111672,2.048059,BACON + CRACKERS/MISC BKD FD,BACON,CRACKERS/MISC BKD FD,0.23303,Recommend CRACKERS/MISC BKD FD to baskets containing BACON
BEANS - CANNED GLASS & MW,COFFEE,GROCERY,GROCERY,191561,1049,0.005476,0.11544,0.097148,2.047947,BEANS - CANNED GLASS & MW + COFFEE,BEANS - CANNED GLASS & MW,COFFEE,0.11544,Recommend COFFEE to baskets containing BEANS - CANNED GLASS & MW
 ,BATH TISSUES, ,GROCERY,191561,932,0.004865,0.137748,0.072327,2.047731,  + BATH TISSUES, ,BATH TISSUES,0.137748,Recommend BATH TISSUES to baskets containing  
BAKED SWEET GOODS,MEAT - MISC,GROCERY,MEAT-PCKGD,191561,1548,0.008081,0.08636,0.191608,2.047676,BAKED SWEET GOODS + MEAT - MISC,MEAT - MISC,BAKED SWEET GOODS,0.191608,Recommend BAKED SWEET GOODS to baskets containing MEAT - MISC
HOT DOGS,SEAFOOD - FROZEN,MEAT-PCKGD,SEAFOOD-PCKGD,191561,809,0.004223,0.07661,0.112878,2.047643,HOT DOGS + SEAFOOD - FROZEN,SEAFOOD - FROZEN,HOT DOGS,0.112878,Recommend HOT DOGS to baskets containing SEAFOOD - FROZEN
ORGANICS FRUIT & VEGETABLES,ROLLS,PRODUCE,PASTRY,191561,271,0.001415,0.052662,0.055003,2.047501,ORGANICS FRUIT & VEGETABLES + ROLLS,ROLLS,ORGANICS FRUIT & VEGETABLES,0.055003,Recommend ORGANICS FRUIT & VEGETABLES to baskets containing ROLLS
BAKING NEEDS,DRY SAUCES/GRAVY,GROCERY,GROCERY,191561,650,0.003393,0.06571,0.105725,2.047399,BAKING NEEDS + DRY SAUCES/GRAVY,DRY SAUCES/GRAVY,BAKING NEEDS,0.105725,Recommend BAKING NEEDS to baskets containing DRY SAUCES/GRAVY
BUTTER,SALAD MIX,GROCERY,PRODUCE,191561,773,0.004035,0.161142,0.05127,2.047396,BUTTER + SALAD MIX,BUTTER,SALAD MIX,0.161142,Recommend SALAD MIX to baskets containing BUTTER
APPLES,BREAD,PRODUCE,PASTRY,191561,1049,0.005476,0.082204,0.136375,2.047192,APPLES + BREAD,BREAD,APPLES,0.136375,Recommend APPLES to baskets containing BREAD
FRUIT - SHELF STABLE,PEPPERS-ALL,GROCERY,PRODUCE,191561,1080,0.005638,0.085066,0.135678,2.047156,FRUIT - SHELF STABLE + PEPPERS-ALL,PEPPERS-ALL,FRUIT - SHELF STABLE,0.135678,Recommend FRUIT - SHELF STABLE to baskets containing PEPPERS-ALL
CONVENIENT BRKFST/WHLSM SNACKS,SALD DRSNG/SNDWCH SPRD,GROCERY,GROCERY,191561,2297,0.011991,0.172396,0.142388,2.047129,CONVENIENT BRKFST/WHLSM SNACKS + SALD DRSNG/SNDWCH SPRD,CONVENIENT BRKFST/WHLSM SNACKS,SALD DRSNG/SNDWCH SPRD,0.172396,Recommend SALD DRSNG/SNDWCH SPRD to baskets containing CONVENIENT BRKFST/WHLSM SNACKS
FRZN VEGETABLE/VEG DSH,PNT BTR/JELLY/JAMS,GROCERY,GROCERY,191561,1299,0.006781,0.105937,0.131014,2.046738,FRZN VEGETABLE/VEG DSH + PNT BTR/JELLY/JAMS,PNT BTR/JELLY/JAMS,FRZN VEGETABLE/VEG DSH,0.131014,Recommend FRZN VEGETABLE/VEG DSH to baskets containing PNT BTR/JELLY/JAMS
CRACKERS/MISC BKD FD,SALAD MIX,GROCERY,PRODUCE,191561,3511,0.018328,0.161085,0.232871,2.046662,CRACKERS/MISC BKD FD + SALAD MIX,SALAD MIX,CRACKERS/MISC BKD FD,0.232871,Recommend CRACKERS/MISC BKD FD to baskets containing SALAD MIX
FROZEN PIZZA,SEAFOOD - SHELF STABLE,GROCERY,GROCERY,191561,1755,0.009162,0.080405,0.233192,2.046567,FROZEN PIZZA + SEAFOOD - SHELF STABLE,SEAFOOD - SHELF STABLE,FROZEN PIZZA,0.233192,Recommend FROZEN PIZZA to baskets containing SEAFOOD - SHELF STABLE
BREAKFAST SAUSAGE/SANDWICHES,PNT BTR/JELLY/JAMS,MEAT-PCKGD,GROCERY,191561,1118,0.005836,0.105911,0.112758,2.046241,BREAKFAST SAUSAGE/SANDWICHES + PNT BTR/JELLY/JAMS,PNT BTR/JELLY/JAMS,BREAKFAST SAUSAGE/SANDWICHES,0.112758,Recommend BREAKFAST SAUSAGE/SANDWICHES to baskets containing PNT BTR/JELLY/JAMS
CAT FOOD,FD WRAPS/BAGS/TRSH BG,GROCERY,GROCERY,191561,683,0.003565,0.112818,0.064666,2.046158,CAT FOOD + FD WRAPS/BAGS/TRSH BG,CAT FOOD,FD WRAPS/BAGS/TRSH BG,0.112818,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing CAT FOOD
BAKING NEEDS,PEPPERS-ALL,GROCERY,PRODUCE,191561,841,0.00439,0.085018,0.105653,2.046001,BAKING NEEDS + PEPPERS-ALL,PEPPERS-ALL,BAKING NEEDS,0.105653,Recommend BAKING NEEDS to baskets containing PEPPERS-ALL
BEANS - CANNED GLASS & MW,MUSHROOMS,GROCERY,PRODUCE,191561,445,0.002323,0.048971,0.097013,2.045115,BEANS - CANNED GLASS & MW + MUSHROOMS,MUSHROOMS,BEANS - CANNED GLASS & MW,0.097013,Recommend BEANS - CANNED GLASS & MW to baskets containing MUSHROOMS
BAKING NEEDS,CITRUS,GROCERY,PRODUCE,191561,1032,0.005387,0.104327,0.105597,2.044913,BAKING NEEDS + CITRUS,CITRUS,BAKING NEEDS,0.105597,Recommend BAKING NEEDS to baskets containing CITRUS
CONDIMENTS/SAUCES,FRZN BREAKFAST FOODS,GROCERY,GROCERY,191561,1270,0.00663,0.07407,0.182971,2.044212,CONDIMENTS/SAUCES + FRZN BREAKFAST FOODS,FRZN BREAKFAST FOODS,CONDIMENTS/SAUCES,0.182971,Recommend CONDIMENTS/SAUCES to baskets containing FRZN BREAKFAST FOODS
REFRGRATD DOUGH PRODUCTS,SEAFOOD - FROZEN,GROCERY,SEAFOOD-PCKGD,191561,1035,0.005403,0.076468,0.144412,2.043863,REFRGRATD DOUGH PRODUCTS + SEAFOOD - FROZEN,SEAFOOD - FROZEN,REFRGRATD DOUGH PRODUCTS,0.144412,Recommend REFRGRATD DOUGH PRODUCTS to baskets containing SEAFOOD - FROZEN
FRUIT - SHELF STABLE,LUNCHMEAT,GROCERY,MEAT-PCKGD,191561,3100,0.016183,0.244171,0.135448,2.043681,FRUIT - SHELF STABLE + LUNCHMEAT,FRUIT - SHELF STABLE,LUNCHMEAT,0.244171,Recommend LUNCHMEAT to baskets containing FRUIT - SHELF STABLE
CONDIMENTS/SAUCES,CONVENIENT BRKFST/WHLSM SNACKS,GROCERY,GROCERY,191561,2437,0.012722,0.142132,0.182903,2.043455,CONDIMENTS/SAUCES + CONVENIENT BRKFST/WHLSM SNACKS,CONVENIENT BRKFST/WHLSM SNACKS,CONDIMENTS/SAUCES,0.182903,Recommend CONDIMENTS/SAUCES to baskets containing CONVENIENT BRKFST/WHLSM SNACKS
MEAT - MISC,PEPPERS-ALL,MEAT-PCKGD,PRODUCE,191561,686,0.003581,0.084911,0.086181,2.043434,MEAT - MISC + PEPPERS-ALL,PEPPERS-ALL,MEAT - MISC,0.086181,Recommend MEAT - MISC to baskets containing PEPPERS-ALL
CARROTS,FD WRAPS/BAGS/TRSH BG,PRODUCE,GROCERY,191561,910,0.00475,0.112666,0.086158,2.043395,CARROTS + FD WRAPS/BAGS/TRSH BG,CARROTS,FD WRAPS/BAGS/TRSH BG,0.112666,Recommend FD WRAPS/BAGS/TRSH BG to baskets containing CARROTS
BACON,CHEESE,MEAT-PCKGD,GROCERY,191561,5098,0.026613,0.48808,0.111412,2.043297,BACON + CHEESE,BACON,CHEESE,0.48808,Recommend CHEESE to baskets containing BACON
PORK,VEGETABLES SALAD,MEAT,PRODUCE,191561,1329,0.006938,0.111428,0.127201,2.042997,PORK + VEGETABLES SALAD,VEGETABLES SALAD,PORK,0.127201,Recommend PORK to baskets containing VEGETABLES SALAD
CHICKEN,FRUIT - SHELF STABLE,MEAT,GROCERY,191561,1969,0.010279,0.135401,0.155088,2.042969,CHICKEN + FRUIT - SHELF STABLE,FRUIT - SHELF STABLE,CHICKEN,0.155088,Recommend CHICKEN to baskets containing FRUIT - SHELF STABLE
MUSHROOMS,TROPICAL FRUIT,PRODUCE,PRODUCE,191561,1547,0.008076,0.337257,0.048894,2.041889,MUSHROOMS + TROPICAL FRUIT,MUSHROOMS,TROPICAL FRUIT,0.337257,Recommend TROPICAL FRUIT to baskets containing MUSHROOMS
